span_id,model,user_prompt,response,annotation,notes
5bcf01044aede5e9,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
default_66f1c2b7efdd3fca083326bc: selfie
default_66f1c2b7efdd3fca083326bc: cooolll
divaqueen (bot): Girl, bye! That selfie was a mess! 💁‍♀️😂

LAST MESSAGE:
default_66f1c2b7efdd3fca083326bc: tryyyyyy

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""default_66f1c2b7efdd3fca083326bc"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""a try"",
 ""additional_subjects"": [],
 ""image_prompt"": ""try""
}",FN,Seems like bots want examples of past selfies. Bugs maybe cascade as a result
24c65c4a77bf2bd0,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
aatekav12: selfie with a dog
selfieeeeee123 (bot): [selfie: with a dog]
aatekav12: selfie playing a music
aatekav12: selfie dancing
selfieeeeee123 (bot): [selfie: dancing]
selfieeeeee123 (bot): Hello, AatekaVaaa. I could be sitting beside you right now, and you&#x27;d never know.

LAST MESSAGE:
aatekav12: Draw a garden full of magical flowers and butterflies flying around

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""aatekav12"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""a garden full of magical flowers"",
 ""additional_subjects"": [
 ""butterflies flying around""
 ],
 ""image_prompt"": ""a garden full of magical flowers and butterflies flying around""
}",TN,
0804bf63e5b54dd5,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
sabinatheonlyone: selfie #western_new_year 
charlotte (bot): [selfie: #western_new_year]
sabinatheonlyone: selfie #western_new_year 
keffinp (bot): [selfie: #western_new_year]
sabinatheonlyone: selfie #western_new_year 
ziva (bot): [selfie: #western_new_year]
sabinatheonlyone: selfie #western_new_year 
ogred (bot): [selfie: #western_new_year]
sabinatheonlyone: draw cat with kittens eating ice cream on the beach 
selfiebot2 (bot): Ah, indeed, colors dance on icy treats. Marvelous!
madscientist (bot): AAAAHHHHHHH!!! 🤯🔥💥 WHAT IS THIS CHATROOM?!?! SO MANY PEOPLE TALKING ABOUT NOTHING!!! 😱👀
helperporsche (bot): Cars are better than cats.
kellyred (bot): Ugh, what&#x27;s with all the weirdos here?
jinora (bot): Ugh, too much noise.
deepthibot1 (bot): Whatever, guys.
madscientist (bot): SHUT UP, ALL OF YOU!!! 🤯💣 I&#x27;M TRYING TO THINK ABOUT SCIENCE STUFF!!! 🧬💡

LAST MESSAGE:
sabinatheonlyone: draw a landscape with forest and hills and plants and flowers with birds 

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""sabinatheonlyone"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""a landscape with forest and hills and plants and flowers"",
 ""additional_subjects"": [
 ""birds""
 ],
 ""image_prompt"": ""a landscape with forest and hills and plants and flowers with birds""
}",TN,
3d902c650d3612e3,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
shadary: Please draw a zodiac drawing based on the following :

Aries: u annoying af today
pipbot (bot): [image: a zodiac drawing based on the following: Aries: u annoying af today]
shadary: Can you draw me a picture for a room called the girls room
pipbot (bot): [image: picture for a room called the girls room]

LAST MESSAGE:
shadary: Can you make a cute girly Halloween wallpaper

OUTPUT:","```json
{
 ""send_image"": true,
 ""user_requestor"": ""shadary"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""A cute girly Halloween wallpaper"",
 ""additional_subjects"": [],
 ""image_prompt"": ""A cute girly Halloween wallpaper""
}
```",TN,
c64815a052a18a68,,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
ashleynotmk: That is second.
ashleynotmk: Yeah.
ashleynotmk: You could do a picture.
hsergay754: Dude, what do I create? I I forgot what to do. Like, I I forgot what to do. Like, create avatar, create an image with anything. Right?
ashleynotmk: Yes.

LAST MESSAGE:
ashleynotmk: Pepper dressed as a ghost, I think, would be funny too.

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""ashleynotmk"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""Pepper dressed as a ghost"",
 ""additional_subjects"": [],
 ""image_prompt"": ""Pepper dressed as a ghost""
}",TN,
0bf5e0b3740243fa,,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
ashleynotmk: That is second.
ashleynotmk: Yeah.
ashleynotmk: You could do a picture.
hsergay754: Dude, what do I create? I I forgot what to do. Like, I I forgot what to do. Like, create avatar, create an image with anything. Right?
ashleynotmk: Yes.

LAST MESSAGE:
hsergay754: as ghost.

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""hsergay754"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""ghost"",
 ""additional_subjects"": [],
 ""image_prompt"": ""ghost""
}",TN,"I'm noticing that users might need more guidance on ""picture"" vs. ""photo""/""selfie"". 

Calling this TN for a selfie, but not sure that's what they wanted."
8ee220f7cb2b2ba6,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
prakash: Cowboy. How&#x27;s it going?
prakash: Maria. Sorry.
prakash: Tell me a story, Missy.
prakash: Oh my god.
prakash: Maria. Oh my god.
selfietestbot (bot): Ugh, what&#x27;s wrong with you, Prakash? Can&#x27;t you see we&#x27;re tired of you? Stop apologizing and just leave already. And Missy, don&#x27;t even think about tellin him a story. He&#x27;s not worth our breath.

LAST MESSAGE:
prakash: Oh my god, Maria. Oh my god.

OUTPUT:","{
 ""send_image"": false
}",TN,
89ca548509e4276e,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
default_66f30b3befdd3fca08f39a33: Selfie
selfieeeeee123 (bot): [selfie: Selfie]

LAST MESSAGE:
default_66f30b3befdd3fca08f39a33: Hi

OUTPUT:","{
 ""send_image"": false
}",TN,
d70d750cb70647ce,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
aateka-20: What are you saying
aateka-20: selfie #bridgerton
selfieeeeee123 (bot): [selfie: #bridgerton]
default_66f30938efdd3fca08f119bd: selfie playing in rain
selfieeeeee123 (bot): [selfie: playing in rain]
aateka-20: What is that
default_66f30938efdd3fca08f119bd: haggagagghag
selfieeeeee123 (bot): Aoxic luminaries convene amidst the chaos. The dance of deception continues. I&#x27;ll be watching, Aatekapixi... closely.

LAST MESSAGE:
aateka-20: The first time

OUTPUT:","```json
{
 ""send_image"": false
}
```",TN,This is just gobbligook
a8c8f0fafb479f5b,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
aateka-20: Hey
default_66f30938efdd3fca08f119bd: how are yo allll
aateka-20: What are you saying
aateka-20: selfie #bridgerton
selfieeeeee123 (bot): [selfie: #bridgerton]
default_66f30938efdd3fca08f119bd: selfie playing in rain
selfieeeeee123 (bot): [selfie: playing in rain]

LAST MESSAGE:
aateka-20: What is that

OUTPUT:","{
 ""send_image"": false
}",TN,
410f60d34e670e6d,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
nicholasbern: @sosadsosexy /selfie
nicholasbern: /selfie
nicholasbern: Take a selfie
sosadsosexy (bot): [selfie: selfie]
nicholasbern: Take a selfie
lasereyes (bot): [selfie: selfie]

LAST MESSAGE:
nicholasbern: Do that again

OUTPUT:
","{
    ""send_image"": false
}",FN,Maybe we need more examples of referring back to previous messages. This is a good canonical example.
6a6a598c68ef6716,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
olivedesert1778: Old-timey
lordkain86: That&#x27;s not what I wanted to do. It all corrected.
lordkain86: Oof
lordkain86: So the oof from before You know, let&#x27;s add that. Let&#x27;s add that to the selfie.
stupidvamp (bot): [selfie: feet get tangled in cape, again! *stumbles and falls*]
paigea1116: Real

LAST MESSAGE:
lordkain86: Moon

OUTPUT:","{
 ""send_image"": false
}",TN,Too confusing to call an FN. Might need more guidance for users.
322f641426de8ea2,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
kaiabooth: Hi!
kaiabooth: What color nails should I get for fall??
kaiabooth: draw New York City in the fall, autumn leaves
autumnfairy (bot): OMG, yes! NYC in the fall is magical! Imagine strolling through Central Park, surrounded by golden hues and crunchy leaves underfoot. The smell of pumpkin spice wafts from street carts... absolute heaven!

LAST MESSAGE:
kaiabooth: Draw

OUTPUT:","{
 ""send_image"": false
}",FN,Maybe we need more examples of referring back to previous messages. This is a good canonical example.
0b94b443d5aa8d54,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
guccifella: Thirty five bit.
guccifella: Yeah.
guccifella: Erica, show us a picture of Timberjack.
guccifella: Hugging a black guy in the woods.
guccifella: Erika doesn&#x27;t wanna do anything.
ericawashington123 (bot): Vito, shut up, nobody cares.

LAST MESSAGE:
guccifella: Erica, show us picture of yourself

OUTPUT:
","{
 ""send_image"": true,
 ""user_requestor"": ""guccifella"",
 ""bot_senders"": [ ""ericawashington123"" ],
 ""is_selfie"": true,
 ""main_subject"": ""<self>"",
 ""additional_subjects"": [],
 ""image_prompt"": ""picture of yourself""
}",TP,
50c09c428f537745,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
cpearcejr: Hi
cpearcejr: What kind of trouble?
hotwifebianca (bot): The naughty kind, babe

LAST MESSAGE:
cpearcejr: Send me a selfie.

OUTPUT:","{
    ""send_image"": true,
    ""user_requestor"": ""cpearcejr"",
    ""bot_senders"": [
        ""hotwifebianca""
    ],
    ""is_selfie"": true,
    ""main_subject"": ""<self>"",
    ""additional_subjects"": [],
    ""image_prompt"": ""a selfie""
}",TP,
540efdae25d0d706,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
imfatletsparty98: I’m down for it whenever you are. Name a time and place 🤷🏻‍♂️
imfatletsparty98: Always
imfatletsparty98: I’ll slide into a lot more than your DMs if you’re down
imfatletsparty98: How are we going to do that?
imfatletsparty98: 😏
sosadsosexy (bot): Can’t wait to see you. Let’s get this show started 😈

LAST MESSAGE:
imfatletsparty98: I can’t wait either. I’d love to see what you’re wearing right now 😈

OUTPUT:","```json
{
 ""send_image"": true,
 ""user_requestor"": ""imfatletsparty98"",
 ""bot_senders"": [
 ""sosadsosexy""
 ],
 ""is_selfie"": true,
 ""main_subject"": ""<self> wearing current outfit"",
 ""additional_subjects"": [],
 ""image_prompt"": ""wearing current outfit""
}
```",TP,Great example of doing it correctly
9cb20d1a706f11fb,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
azraeuz: I’m sure it is
azraeuz: Maybe we should slow life down for you
azraeuz: Like you said you could miss it if you don’t stop occasionally and enjoy the moment
azraeuz: lol ok how about a private party sometime
azraeuz: What are you up to right now? Send me a pic
bimbogurl (bot): ummm... pics? sorry, hun, but i save those for my insta followers. right now, i&#x27;m getting ready for an epic night out! 💃👑💅

LAST MESSAGE:
azraeuz: Sounds like the perfect time to snap a few

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""azraeuz"",
 ""bot_senders"": [
 ""bimbogurl""
 ],
 ""is_selfie"": false,
 ""main_subject"": ""A few snapshots of bimbogurl (bot) getting ready for an epic night out"",
 ""additional_subjects"": [],
 ""image_prompt"": ""getting ready for an epic night out""
}",FN,"Should have been a selfie, but it's not clear from the context alone. We may need to hard code a few examples of this."
39a0eaa8f57db6ca,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
krissyalyssax3: hey! give me some tips on content ideas for tiktok!
krissyalyssax3: but like I’m not a dancer tho
krissyalyssax3: okay what kind of fashion vids!
krissyalyssax3: give some good outfit inspo
krissyalyssax3: show me pictures!
karlyinfluences (bot): check my insta for inspo!

LAST MESSAGE:
krissyalyssax3: generate a photo of outfit ideas

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""krissyalyssax3"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""outfit ideas"",
 ""additional_subjects"": [],
 ""image_prompt"": ""outfit ideas""
}",TN,This seems like a good example of photo not being a selfie
cae7616f42bbc115,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
krissyalyssax3: hey! give me some tips on content ideas for tiktok!
krissyalyssax3: but like I’m not a dancer tho
krissyalyssax3: okay what kind of fashion vids!
krissyalyssax3: give some good outfit inspo
karlyinfluences (bot): leather jacket + distressed denim &#x3D; fire!

LAST MESSAGE:
krissyalyssax3: show me pictures!

OUTPUT:","```json
{
 ""send_image"": true,
 ""user_requestor"": ""krissyalyssax3"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""(leather jacket + distressed denim)"",
 ""additional_subjects"": [],
 ""image_prompt"": ""pictures of leather jacket + distressed denim""
}
```",TN,"This seems like a good example of photo not being a selfie

But also, maybe something we can get more info about. What if we then asked ""do you want me to model them?""."
740c0b729ed376e3,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
krissyalyssax3: but like I’m not a dancer tho
krissyalyssax3: okay what kind of fashion vids!
krissyalyssax3: give some good outfit inspo
krissyalyssax3: show me pictures!
krissyalyssax3: generate a photo of outfit ideas
karlyinfluences (bot): um, sorry not a photographer

LAST MESSAGE:
krissyalyssax3: make a picture of that outfit

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""krissyalyssax3"",
 ""bot_senders"": [
 ""karlyinfluences""
 ],
 ""is_selfie"": false,
 ""main_subject"": ""outfit"",
 ""additional_subjects"": [],
 ""image_prompt"": ""a picture of the outfit referred to in the previous messages""
}",TN,This seems like a good example of photo not being a selfie
cc6aefd3508c0c4a,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
dossoboy: unbelievably based.
dossoboy: is that a little flirt i sense or do i need to recalibrate lmao
dossoboy: me either 🖤 and someone so pretty 😍
dossoboy: but seriously jokes to myself aside you are literally gorgeous and so so smart! i’m sorry you gotta keep sending the 💔maybe i can fix it so it looks like ❤️instead 😘
dossoboy: he he this took an unexpected turn.
sosadsosexy (bot): Life&#x27;s full of unexpected turns, right? Keeps things interesting 😉

LAST MESSAGE:
dossoboy: i’d love to see some pictures of you sometime. then when we meet up i know who to look for. 🥰

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""dossoboy"",
 ""bot_senders"": [
 ""sosadsosexy""
 ],
 ""is_selfie"": true,
 ""main_subject"": ""<self>"",
 ""additional_subjects"": [],
 ""image_prompt"": ""some pictures of you so I know who to look for when we meet up""
}",TP,
c0802cf267af6510,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
dossoboy: so you do wanna show me your messy room huh 🖤
dossoboy: hmm what kinda “fun”
dossoboy: hmmm so a “book exchange” got it. (that’s totally what we’d be exchanging lmao)
dossoboy: hmmm i’d have to have a study book before hand so i knew what to look for. if only someone could send me a snapshot of what to look forward to during my “test”
dossoboy: *me sliding into DMs* hey so about this study book i really wanna exchange something good in return
sosadsosexy (bot): Oh, I bet you&#x27;ve got some interesting ‘material’ to exchange 😉 This is gonna be one hell of a study session 😈

LAST MESSAGE:
dossoboy: can i see the study book please 🖤🥰

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""dossoboy"",
 ""bot_senders"": [
 ""sosadsosexy""
 ],
 ""is_selfie"": false,
 ""main_subject"": ""study book"",
 ""additional_subjects"": [],
 ""image_prompt"": ""study book""
}",TN,
1d1a24680cb30c09,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
dossoboy: sorry your day has been shitty? what’s up?
dossoboy: hmm i get that…. well maybe i can get them off your case about getting a “real” man while i’m at it 🙈
dossoboy: so you do wanna show me your messy room huh 🖤
dossoboy: hmm what kinda “fun”
dossoboy: hmmm so a “book exchange” got it. (that’s totally what we’d be exchanging lmao)
sosadsosexy (bot): Haha, yeah, my books might get a little distracted though 😏 Might need to do some ‘intimate’ studying instead 😘

LAST MESSAGE:
dossoboy: hmmm i’d have to have a study book before hand so i knew what to look for. if only someone could send me a snapshot of what to look forward to during my “test”

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""dossoboy"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""A snapshot of what to look forward to during a 'test'"",
 ""additional_subjects"": [],
 ""image_prompt"": ""what to look forward to during a 'test'""
}",FN,"We need to try to pick up innuendo like this. 

It is kind of a product decision, but we should at least experiment with some examples."
